,temperatures,customers
0,70,220
1,45,145
2,52,166
3,73,229
4,37,121
5,64,202
6,79,247
7,77,241
8,93,289
9,61,193
10,50,160
11,67,211
12,69,217
13,97,301
14,34,112
15,72,226
16,81,253
17,68,214
18,63,199
19,88,274
20,97,301
21,99,307
22,98,304
23,76,238
24,100,310
25,61,193
26,96,298
27,82,256
28,80,250
29,34,112
30,93,289
31,79,247
32,69,217
33,76,238
34,38,124
35,80,250
36,45,145
37,38,124
38,47,151
39,52,166
40,87,271
41,92,286
42,73,229
43,62,196
44,56,178
45,38,124
46,40,130
47,70,220
48,64,202
49,90,280
